MWD	TWD	logMdot	macc	mej	Yenv	Yej	Zenv	Zej	T8max
		-12	4.43E-06	5.95E-06	0.3387	0.4160	0.3356	0.3264	2.12
		-12.3	5.57E-06	1.00E-05	0.4400	0.5262	0.3346	0.3169	2.46
1.40	10	-6	1.81E-08	0.00E+00	0.3372	\ldots	0.0213	\ldots	1.64
		-7	7.71E-08	5.31E-08	0.3087	0.4603	0.0218	0.0272	2.09
		-8	1.64E-07	1.83E-07	0.2977	0.5004	0.1277	0.1277	2.52
		-9	4.12E-07	4.74E-07	0.2622	0.4732	0.1536	0.1521	3.07
		-10	5.90E-07	6.90E-07	0.2543	0.4068	0.1591	0.2250	3.62
		-11	2.59E-06	3.03E-06	0.2332	0.4598	0.2077	0.1967	4.70
		-12	\ldots	\ldots	\ldots	\ldots	\ldots	\ldots	\ldots
		-12.3	\ldots	\ldots	\ldots	\ldots	\ldots	\ldots	\ldots
1.40	30	-6	1.78E-08	0.00E+00	0.3466	\ldots	0.0208	\ldots	1.62
		-7	7.94E-08	5.54E-08	0.3073	0.4574	0.0217	0.0271	2.10
		-8	2.02E-07	2.02E-07	0.3600	0.5410	0.0242	0.0339	2.51
		-9	2.64E-07	3.02E-07	0.2817	0.4891	0.1488	0.1497	2.81
		-10	2.11E-07	2.68E-07	0.2509	0.4643	0.2338	0.2325	2.76
		-11	1.28E-07	2.09E-07	0.1968	0.3986	0.4235	0.4325	2.65
		-12	9.30E-08	1.94E-07	0.1189	0.3213	0.6100	0.6179	2.66
		-12.3	\ldots	\ldots	\ldots	\ldots	\ldots	\ldots	\ldots
1.40	50	-6	1.80E-08	0.00E+00	0.3354	\ldots	0.0214	\ldots	1.62
		-7	8.09E-08	5.69E-08	0.3089	0.4772	0.0218	0.0277	2.07
		-8	2.02E-07	2.02E-07	0.3600	0.5385	0.0241	0.0336	2.48
		-9	1.90E-07	2.18E-07	0.2927	0.4952	0.1535	0.1541	2.60
		-10	1.21E-07	1.64E-07	0.2608	0.4678	0.2848	0.2838	2.48
		-11	6.83E-08	1.25E-07	0.2220	0.4230	0.4750	0.4730	2.40
		-12	2.44E-07	3.15E-07	0.3772	0.6059	0.3348	0.3202	4.20
		-12.3	\ldots	\ldots	\ldots	\ldots	\ldots	\ldots	\ldots
